"Table 1  Travel burden for hospital care, national, provincial/territorial and regional levels, 2018–2019 to 2022–2023 (5 years of pooled data)",,,,,,,,,,,
Reporting level,Province/territory,Geography code,Region,Rural/remote versus urban,CMG Care Level,CMG Provider Service Group,Metric,Travel burden category,Value,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,Very low,89.9,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,Low,0.5,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,Moderate,5.9,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,High,0.8,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,Very high,2.9,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Internal medicine and subspecialty,Percentage of hospitalizations,High/very high,3.7,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Internal medicine and subspecialty,High/very high travel burden hospitalization rate,High/very high,0.2,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Internal medicine and subspecialty,Total hospitalization rate,Total,4.7,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,Very low,"23,478",,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,Low,985,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,Moderate,464,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,High,122,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,Very high,81,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,High/very high,203,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Obstetric and gynecology,Number of hospitalizations,Total,"25,130",,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Obstetric and gynecology,Percentage of hospitalizations,Very low,93.4,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Obstetric and gynecology,Percentage of hospitalizations,Low,3.9,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Obstetric and gynecology,Percentage of hospitalizations,Moderate,1.8,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Obstetric and gynecology,Percentage of hospitalizations,High,0.5,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Obstetric and gynecology,Percentage of hospitalizations,Very high,0.3,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Obstetric and gynecology,Percentage of hospitalizations,High/very high,0.8,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Obstetric and gynecology,High/very high travel burden hospitalization rate,High/very high,0.1,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Obstetric and gynecology,Total hospitalization rate,Total,9.9,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Psychiatry,Number of hospitalizations,Very low,"3,923",,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Psychiatry,Number of hospitalizations,Low,7,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Psychiatry,Number of hospitalizations,Moderate,161,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Psychiatry,Number of hospitalizations,High,80,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Psychiatry,Number of hospitalizations,Very high,344,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Psychiatry,Number of hospitalizations,High/very high,424,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Psychiatry,Number of hospitalizations,Total,"4,515",,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Psychiatry,Percentage of hospitalizations,Very low,86.9,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Psychiatry,Percentage of hospitalizations,Low,0.2,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Psychiatry,Percentage of hospitalizations,Moderate,3.6,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Psychiatry,Percentage of hospitalizations,High,1.8,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Psychiatry,Percentage of hospitalizations,Very high,7.6,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Psychiatry,Percentage of hospitalizations,High/very high,9.4,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Psychiatry,High/very high travel burden hospitalization rate,High/very high,0.2,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Psychiatry,Total hospitalization rate,Total,1.9,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Surgery,Number of hospitalizations,Very low,"38,137",,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Surgery,Number of hospitalizations,Low,664,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Surgery,Number of hospitalizations,Moderate,"2,242",,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Surgery,Number of hospitalizations,High,441,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Surgery,Number of hospitalizations,Very high,"1,140",,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Surgery,Number of hospitalizations,High/very high,"1,581",,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Surgery,Number of hospitalizations,Total,"42,624",,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Surgery,Percentage of hospitalizations,Very low,89.5,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Surgery,Percentage of hospitalizations,Low,1.6,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Surgery,Percentage of hospitalizations,Moderate,5.3,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Surgery,Percentage of hospitalizations,High,1,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Surgery,Percentage of hospitalizations,Very high,2.7,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Surgery,Percentage of hospitalizations,High/very high,3.7,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Surgery,High/very high travel burden hospitalization rate,High/very high,0.6,,
Regional,Nova Scotia,1204,Central Zone,Overall,All levels,Surgery,Total hospitalization rate,Total,17.1,,
Regional,Nova Scotia,1204,Central Zone,Overall,General,All service provider groups,Number of hospitalizations,Very low,"57,919",,
Regional,Nova Scotia,1204,Central Zone,Overall,General,All service provider groups,Number of hospitalizations,Low,388,,
Regional,Nova Scotia,1204,Central Zone,Overall,General,All service provider groups,Number of hospitalizations,Moderate,"2,600",,
Regional,Nova Scotia,1204,Central Zone,Overall,General,All service provider groups,Number of hospitalizations,High,716,,
Regional,Nova Scotia,1204,Central Zone,Overall,General,All service provider groups,Number of hospitalizations,Very high,"2,357",,
Regional,Nova Scotia,1204,Central Zone,Overall,General,All service provider groups,Number of hospitalizations,High/very high,"3,073",,
Regional,Nova Scotia,1204,Central Zone,Overall,General,All service provider groups,Number of hospitalizations,Total,"63,980",,
Regional,Nova Scotia,1204,Central Zone,Overall,General,All service provider groups,Percentage of hospitalizations,Very low,90.5,,
Regional,Nova Scotia,1204,Central Zone,Overall,General,All service provider groups,Percentage of hospitalizations,Low,0.6,,
Regional,Nova Scotia,1204,Central Zone,Overall,General,All service provider groups,Percentage of hospitalizations,Moderate,4.1,,
Regional,Nova Scotia,1204,Central Zone,Overall,General,All service provider groups,Percentage of hospitalizations,High,1.1,,
Regional,Nova Scotia,1204,Central Zone,Overall,General,All service provider groups,Percentage of hospitalizations,Very high,3.7,,
Regional,Nova Scotia,1204,Central Zone,Overall,General,All service provider groups,Percentage of hospitalizations,High/very high,4.8,,
Regional,Nova Scotia,1204,Central Zone,Overall,General,All service provider groups,Percentage of hospitalizations,Total,44.9,,
Regional,Nova Scotia,1204,Central Zone,Overall,General,All service provider groups,High/very high travel burden hospitalization rate,High/very high,1.2,,
Regional,Nova Scotia,1204,Central Zone,Overall,General,All service provider groups,Total hospitalization rate,Total,26.3,,
Regional,Nova Scotia,1204,Central Zone,Overall,Specialized,All service provider groups,Number of hospitalizations,Very low,"53,849",,
Regional,Nova Scotia,1204,Central Zone,Overall,Specialized,All service provider groups,Number of hospitalizations,Low,"1,251",,
Regional,Nova Scotia,1204,Central Zone,Overall,Specialized,All service provider groups,Number of hospitalizations,Moderate,"2,391",,
Regional,Nova Scotia,1204,Central Zone,Overall,Specialized,All service provider groups,Number of hospitalizations,High,587,,
Regional,Nova Scotia,1204,Central Zone,Overall,Specialized,All service provider groups,Number of hospitalizations,Very high,"1,389",,
Regional,Nova Scotia,1204,Central Zone,Overall,Specialized,All service provider groups,Number of hospitalizations,High/very high,"1,976",,
Regional,Nova Scotia,1204,Central Zone,Overall,Specialized,All service provider groups,Number of hospitalizations,Total,"59,467",,
Regional,Nova Scotia,1204,Central Zone,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Very low,90.6,,
Regional,Nova Scotia,1204,Central Zone,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Low,2.1,,
Regional,Nova Scotia,1204,Central Zone,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Moderate,4,,
Regional,Nova Scotia,1204,Central Zone,Overall,Specialized,All service provider groups,Percentage of hospitalizations,High,1,,
Regional,Nova Scotia,1204,Central Zone,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Very high,2.3,,
Regional,Nova Scotia,1204,Central Zone,Overall,Specialized,All service provider groups,Percentage of hospitalizations,High/very high,3.3,,
Regional,Nova Scotia,1204,Central Zone,Overall,Specialized,All service provider groups,Percentage of hospitalizations,Total,41.8,,
Regional,Nova Scotia,1204,Central Zone,Overall,Specialized,All service provider groups,High/very high travel burden hospitalization rate,High/very high,0.8,,
Regional,Nova Scotia,1204,Central Zone,Overall,Specialized,All service provider groups,Total hospitalization rate,Total,23.8,,
Regional,Nova Scotia,1204,Central Zone,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Very low,"17,270",,
Regional,Nova Scotia,1204,Central Zone,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Low,318,,
Regional,Nova Scotia,1204,Central Zone,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Moderate,997,,
Regional,Nova Scotia,1204,Central Zone,Overall,Highly specialized,All service provider groups,Number of hospitalizations,High,75,,
Regional,Nova Scotia,1204,Central Zone,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Very high,262,,
Regional,Nova Scotia,1204,Central Zone,Overall,Highly specialized,All service provider groups,Number of hospitalizations,High/very high,337,,
Regional,Nova Scotia,1204,Central Zone,Overall,Highly specialized,All service provider groups,Number of hospitalizations,Total,"18,922",,
Regional,Nova Scotia,1204,Central Zone,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Very low,91.3,,
Regional,Nova Scotia,1204,Central Zone,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Low,1.7,,
Regional,Nova Scotia,1204,Central Zone,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Moderate,5.3,,
Regional,Nova Scotia,1204,Central Zone,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,High,0.4,,
Regional,Nova Scotia,1204,Central Zone,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Very high,1.4,,
Regional,Nova Scotia,1204,Central Zone,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,High/very high,1.8,,
Regional,Nova Scotia,1204,Central Zone,Overall,Highly specialized,All service provider groups,Percentage of hospitalizations,Total,13.3,,
Regional,Nova Scotia,1204,Central Zone,Overall,Highly specialized,All service provider groups,High/very high travel burden hospitalization rate,High/very high,0.1,,
Regional,Nova Scotia,1204,Central Zone,Overall,Highly specialized,All service provider groups,Total hospitalization rate,Total,7.7,,
Provincial/territorial,New Brunswick,1300,n/a,Overall,All levels,All service provider groups,Number of hospitalizations,Very low,"150,196",,
Provincial/territorial,New Brunswick,1300,n/a,Overall,All levels,All service provider groups,Number of hospitalizations,Low,"62,977",,
Provincial/territorial,New Brunswick,1300,n/a,Overall,All levels,All service provider groups,Number of hospitalizations,Moderate,"76,429",,
Provincial/territorial,New Brunswick,1300,n/a,Overall,All levels,All service provider groups,Number of hospitalizations,High,"31,588",,
Provincial/territorial,New Brunswick,1300,n/a,Overall,All levels,All service provider groups,Number of hospitalizations,Very high,"12,302",,
Provincial/territorial,New Brunswick,1300,n/a,Overall,All levels,All service provider groups,Number of hospitalizations,High/very high,"43,890",,
Provincial/territorial,New Brunswick,1300,n/a,Overall,All levels,All service provider groups,Number of hospitalizations,Total,"333,492",,
Provincial/territorial,New Brunswick,1300,n/a,Overall,All levels,All service provider groups,Percentage of hospitalizations,Very low,45,,
Provincial/territorial,New Brunswick,1300,n/a,Overall,All levels,All service provider groups,Percentage of hospitalizations,Low,18.9,,
Provincial/territorial,New Brunswick,1300,n/a,Overall,All levels,All service provider groups,Percentage of hospitalizations,Moderate,22.9,,
Provincial/territorial,New Brunswick,1300,n/a,Overall,All levels,All service provider groups,Percentage of hospitalizations,High,9.5,,
Provincial/territorial,New Brunswick,1300,n/a,Overall,All levels,All service provider groups,Percentage of hospitalizations,Very high,3.7,,
